main1,enemy1,main2,enemy2,main3,enemy3,main4,enemy4,main5,enemy5,main_pre_b1,enemy_pre_b1,main_pre_b2,enemy_pre_b2,main_post_b,enemy_post_b,is_first,is_win
c1133,c1137,c1118,c4004,c2031,c1103,c2011,c1091,c2069,c1023,c1117,c1055,c2016,c6062,c2011,c1023,1,1
c1133,c1118,c2031,c4144,c1014,c4004,c2011,c1137,c2069,c1055,c1117,c1117,c2016,c2109,c1133,c1137,1,2
c1118,c1133,c2031,c2019,c2011,c3094,c1112,c1134,c2090,c2008,c1117,c2089,c2016,c1151,c1118,c1133,0,2
c1118,c2089,c1133,c2008,c2031,c2109,c2011,c1137,c2069,c1091,c1117,c1151,c2016,c6062,c1118,c2109,0,2
c1118,c2109,c1112,c4144,c2031,c1055,c2069,c2095,c2011,c2046,c1117,c1133,c2016,c1151,c1118,c2109,1,1
c1118,c2109,c1112,c2008,c2031,c4144,c2011,c1091,c2069,c1103,c1117,c1133,c2016,c6062,c2011,c2109,0,1
c1118,c2109,c1133,c4144,c2031,c2036,c2011,c2015,c2069,c1112,c1117,c1126,c2016,c2089,c1118,c1112,0,2
c1118,c1133,c2031,c1137,c1112,c4144,c2011,c1117,c2069,c1134,c2016,c2109,c2109,c2016,c2069,c1117,0,2
c1133,c2008,c1118,c1055,c2031,c1117,c2011,c1137,c2069,c1023,c2016,c1151,c2109,c2090,c1118,c1117,1,2
c1159,c2089,c2046,c2101,c1055,c1112,c6062,c1121,c1147,c1134,c2016,c1133,c2109,c1151,c1055,c2089,1,2
c1133,c1126,c1137,c4144,c2079,c2090,c2046,c2074,c2069,c2015,c2109,c2109,c2016,c2016,c2069,c2015,1,2
c2101,c2008,c1159,c2089,c2046,c5089,c1121,c2050,c1014,c2079,c2109,c1151,c2016,c2090,c2046,c2008,0,1
c1133,c1126,c1112,c2050,c2046,c4123,c2102,c2035,c1130,c4144,c2109,c2109,c2016,c2016,c1112,c4123,1,2
c2046,c1055,c1150,c2095,c1014,c2008,c1133,c1117,c2090,c1137,c2109,c1126,c2016,c1151,c2046,c2095,0,1
c1159,c1133,c2046,c2101,c2090,c2132,c1014,c5089,c1128,c1118,c2109,c1151,c2016,c2089,c1014,c1133,1,2
c1130,c2089,c2046,c1133,c1159,c2090,c2004,c1014,c1007,c2014,c2109,c1126,c2016,c5089,c2004,c1133,1,2
c1159,c1055,c2090,c4123,c1150,c1117,c1147,c6037,c1034,c2019,c2109,c2070,c2016,c2008,c1147,c6037,1,2
c1133,c1159,c2090,c1055,c2046,c2002,c1130,c2095,c1014,c5016,c2109,c2109,c2016,c2016,c2046,c2095,1,2
c1133,c1118,c2069,c1055,c1014,c2004,c2046,c1137,c1007,c1125,c2016,c1117,c2109,c2109,c1133,c2004,1,2
c1159,c2008,c2090,c1055,c1150,c2132,c1147,c2101,c2046,c2095,c2016,c2089,c2109,c1151,c2046,c2132,1,2
c1159,c2101,c2090,c2089,c2046,c2110,c1014,c2099,c1007,c1125,c2016,c1151,c2109,c1126,c1014,c1125,1,1
c1159,c1133,c1055,c1118,c1117,c2069,c2046,c1112,c1007,c2080,c2109,c2090,c2016,c6062,c1117,c1133,0,2
c1133,c1117,c2046,c6037,c2090,c6017,c1130,c2050,c1014,c1134,c2016,c2109,c2109,c2016,c2046,c1117,1,1
c2090,c2089,c1133,c1137,c2046,c6017,c1130,c1117,c1014,c1114,c2016,c1126,c2109,c1118,c1014,c1117,1,2
c1133,c2089,c2090,c6037,c2046,c1159,c1014,c4144,c2069,c1023,c2016,c1151,c2109,c6062,c2090,c1023,0,1
c2090,c2089,c1133,c4004,c2046,c6062,c1014,c2071,c1130,c5071,c2016,c1159,c2109,c2008,c2090,c4004,1,1
c1055,c1133,c1014,c1151,c2046,c1091,c1147,c1023,c1150,c1137,c2016,c2090,c2109,c1159,c1147,c1133,1,2
c1159,c4004,c2090,c1151,c2046,c2132,c2099,c2079,c1034,c2015,c2109,c2089,c2016,c4144,c1159,c2015,1,1
c2090,c1159,c1133,c1126,c2046,c4144,c1014,c1007,c1130,c2020,c2109,c2089,c2016,c2109,c1133,c1007,0,2
c1133,c6037,c2090,c2070,c2046,c1121,c1014,c1134,c1130,c1019,c2016,c3122,c2109,c1067,c1130,c1134,0,2
c1159,c2008,c2090,c1055,c2046,c2022,c1150,c2070,c1147,c2047,c2109,c1151,c2016,c2089,c1147,c2022,0,1
c2046,c1159,c1133,c1126,c1014,c1150,c1007,c1055,c1118,c1023,c2016,c2109,c2109,c1117,c2046,c1055,0,1
c2046,c1159,c1055,c2089,c1014,c1137,c1147,c1126,c1150,c1007,c2016,c1133,c2109,c2090,c1150,c1007,0,1
c1159,c4004,c2101,c4144,c2046,c2089,c1014,c1133,c2080,c2050,c2109,c2008,c2016,c2090,c2046,c1133,0,2
c2046,c2089,c1159,c1014,c1055,c1121,c2015,c2004,c5024,c2099,c2016,c2109,c2109,c1133,c2015,c2004,1,2
c1159,c2022,c2046,c2008,c1055,c2101,c2009,c2079,c2024,c5149,c2109,c2016,c2016,c2089,c2009,c2008,0,2
c1133,c1055,c2090,c1137,c2046,c2132,c2069,c1126,c1014,c2095,c2016,c1117,c2109,c4144,c2069,c2132,1,2
c1159,c2008,c2046,c2090,c1055,c1151,c2080,c2050,c1150,c5089,c2109,c2089,c2016,c6037,c1150,c2008,1,1
c2046,c6037,c1133,c4004,c2090,c2050,c1014,c1142,c1130,c1159,c2109,c2109,c2016,c2016,c2046,c4004,1,1
c1159,c1133,c2046,c2090,c1055,c1023,c1014,c6062,c1150,c4144,c2016,c1151,c2109,c2089,c2046,c1023,1,1
c1159,c4004,c2046,c2090,c1055,c1112,c2082,c2050,c2080,c2069,c2109,c2089,c2016,c2109,c2080,c4004,1,1
c2046,c1055,c1150,c1133,c1014,c1137,c1147,c2089,c2019,c2070,c2016,c1126,c2109,c2090,c1150,c1133,0,2
c1133,c2090,c2046,c1117,c2070,c2050,c1112,c1099,c1130,c2019,c2016,c1151,c2109,c2089,c1130,c2019,0,2
c1133,c1159,c2090,c6037,c1014,c1103,c2046,c1099,c1130,c2050,c2016,c2089,c2109,c6062,c1130,c6037,0,1
c1133,c2046,c1118,c1150,c1007,c2035,c5009,c4144,c1137,c2020,c2016,c2109,c2109,c2016,c5009,c2046,1,1
c1159,c2008,c1133,c2090,c1118,c1055,c2069,c2022,c1112,c1117,c2109,c1151,c2016,c2089,c1118,c1117,1,1
c1159,c2089,c6037,c2090,c1089,c2070,c2050,c4144,c2101,c2009,c2109,c2046,c2016,c1133,c2050,c2070,1,1
c1159,c1126,c1133,c1055,c1112,c4144,c6037,c2101,c2069,c2073,c2016,c2109,c2109,c1118,c2069,c2101,0,1
c1118,c1055,c1112,c1126,c2004,c1014,c1007,c4144,c2089,c2023,c2109,c1133,c2016,c1151,c1112,c4144,0,1
